0.0,0.0.1,33.03852,-201.0,0.0.2,0.0.3,30.897839,-201.0.1,0.0.4,0.0.5,30.461338,-201.0.2,0.0.6,1.8652929,25.814247,-185.53847,0.017682578,24.77261,25.191927,-0.56265116,0.026421787,25.756826,25.447453,0.8517031,0.002135863,10.450006,18.237238,-120.76198,0.011712982,19.465256,27.5329,-54.44965,0.009624525,25.254082,24.60239,-6.9612117,0.010778128,23.662453,29.402443,0.21167786,0.004732659,17.278751,20.789808,-51.402725,0.0041503217,6.454394,26.265104,-139.65892,0.0.7,0.0.8,25.957876,-201.0.3,0.0.9,0.0.10,27.27648,-201.0.4,0.0.11,0.0.12,27.870718,-201.0.5,0.0.13,0.0.14,31.154406,-201.0.6,0.0.15,0.0.16,29.343647,-201.0.7,0.0.17,0.0.18,31.223152,-201.0.8,0.0.19,0.0.20,31.478596,-201.0.9,0.0.21,0.0.22,30.28347,-201.0.10
0.0,0.0,26.219269,-201.0,0.010687437,23.467167,21.450243,-60.16038,0.013464794,30.964573,33.688828,-22.505272,0.009493001,18.777157,24.668636,-90.00967,0.011670202,14.265581,25.732552,-120.4172,0.010551505,27.677977,27.955217,-37.50423,0.005197636,19.027588,34.76021,-91.764755,0.0,0.0,35.584152,-201.0,0.0066301846,11.845942,22.662495,-130.94606,0.011726747,29.907951,31.165121,-17.508919,0.013919667,30.059566,41.97102,-14.777477,0.00780583,18.569357,25.985817,-88.28692,0.0,0.0,21.234596,-201.0,0.024631636,27.174438,28.59664,-43.394966,0.01245792,24.02316,26.5773,-55.709827,0.015090027,29.838266,29.6778,-18.682983,0.053133383,28.903408,36.217503,-21.783382,0.014083437,23.40259,43.319996,-58.80139,0.008391906,19.70794,25.041315,-92.30873,0.0,0.0,42.473793,-196.44635
0.0,0.0,35.258858,-201.0,0.0,0.0,33.27446,-201.0,0.0,0.0,25.778002,-201.0,0.0,0.0,7.9980845,-201.0,0.003871793,36.109768,10.834901,-47.427708,0.0035953235,47.07886,19.587912,1.8705462,0.014604133,46.334156,10.199653,7.191547,0.011610027,45.5275,10.402787,-5.5272274,0.009145866,45.161,15.154236,3.8839579,0.011728719,14.001916,14.065309,-142.15428,0.012669396,46.08606,16.344496,5.8691125,0.0017017341,45.53288,19.168993,15.717054,0.0014985646,18.426262,20.476194,-114.84845,0.0,0.0,23.965166,-201.0,0.0,0.0,9.752139,-201.0,0.0,3.724935,31.817747,-146.55,0.0,2.0421567,35.249493,-172.8593,0.0,0.0,34.766613,-201.0,0.0,0.0,35.6068,-201.0,0.0064193327,6.305584,34.41794,-112.19964
0.0,0.0,31.396519,-201.0,0.0,0.0,30.796692,-201.0,0.0,0.0,30.300835,-201.0,0.0,1.9787092,31.206816,-184.75874,0.021173418,24.607485,27.12031,6.2922435,0.10671661,29.845198,35.543766,4.8053894,0.0050727283,20.121687,20.598143,-41.183704,0.010538352,19.13469,20.41599,-47.446884,0.007277293,20.014235,24.300886,-32.74916,0.010125898,19.280088,26.841318,-7.369387,0.0013863575,8.666035,25.048777,-112.8865,0.0,0.0,28.24792,-201.0,0.0,0.0,22.697487,-201.0,0.0,0.0,23.252382,-201.0,0.0,0.0,20.368378,-201.0,0.0,0.0,13.326267,-201.0,0.0,0.0,22.39022,-201.0,0.0,0.0,30.994448,-201.0,0.0,0.0,31.861038,-201.0,0.0,0.0,29.198313,-201.0
0.0040589822,17.39326,15.085509,-125.17261,0.028738176,41.436928,27.247143,-26.556404,0.027381293,28.41884,19.795223,-80.25029,0.0055990447,18.78893,5.104045,-112.989456,0.018310118,39.46502,26.6449,-26.564342,0.018185524,34.348206,21.273687,-60.879013,0.007724452,15.247506,11.298584,-136.57442,0.0098153725,36.219803,6.129715,-53.05458,0.0045283567,47.55231,9.309157,4.038663,0.01486888,34.99413,13.03684,-48.918465,0.017975355,44.733562,19.956219,-18.447437,0.010591134,32.98755,18.47555,-56.15348,0.005623127,43.747337,14.628071,-5.102716,0.0046145082,42.22569,19.715002,-14.301296,0.015879918,35.874092,9.921496,-37.009277,0.03117019,52.09185,17.415329,-3.9321356,0.0050165514,19.958702,12.4443035,-122.505615,0.019785507,43.274315,25.714481,-24.884838,0.00157438,19.206024,20.661327,-115.8038,0.0,0.0,26.71717,-201.0
0.028926503,36.625458,16.418516,-37.13871,0.024516052,41.388554,23.533325,-12.319287,0.06805524,47.03888,9.488825,-17.99897,0.012654067,49.550323,6.9817333,-20.629677,0.008122894,41.33337,21.011595,-43.699787,0.0005235447,29.052034,-12.886363,-87.54952,0.006925689,47.84732,4.896023,-4.0174108,0.0070073856,47.031834,8.626268,-20.842937,0.022082215,44.461414,22.19378,-17.78742,0.028528737,42.110104,14.168033,-3.6477222,0.11495417,32.68574,15.760701,-64.314224,0.006251057,33.92527,-0.21657236,-51.13267,0.11269918,45.861145,10.882201,4.2638297,0.017105583,31.829796,9.354952,-72.61126,0.013347892,37.91964,10.725022,-41.68055,0.00341517,50.718872,1.1943778,7.5619645,0.051459637,43.490993,5.123078,-6.0070004,0.01826389,34.870033,25.677414,-23.205177,0.009732551,27.117409,30.916534,-51.086254,0.0,0.0,35.99378,-201.0
0.0,0.0,31.108568,-201.0,0.0,0.0,28.626965,-201.0,0.0,0.0,29.470547,-201.0,0.0065140543,17.262934,19.806429,-100.59926,0.013094821,20.868845,22.693655,-97.52637,0.016682852,24.802616,24.125408,-59.642647,0.0049728947,12.657924,21.847078,-122.38306,0.0,5.162725,19.845322,-175.87202,0.016834032,35.49076,24.072973,-16.637468,0.0030236468,9.890029,29.90408,-148.3955,0.0,0.0,23.704647,-201.0,0.0,0.0,28.214367,-201.0,0.0092372345,10.872867,27.04298,-126.81402,0.010172088,24.784523,37.830456,-28.720633,0.0,0.0,30.304678,-201.0,0.0,0.0,31.620943,-201.0,0.0,0.0,30.496174,-201.0,0.0,0.0,31.916973,-201.0,0.0,0.0,28.19111,-201.0,0.0,0.0,31.895164,-201.0
0.0066253864,15.26584,23.098127,-122.52295,0.0031174426,5.4453535,3.3173208,-174.14403,0.026979925,30.387861,25.395554,-62.474567,0.017757572,39.704582,27.413137,-27.159575,0.006971012,15.56715,6.6829767,-130.46553,0.006718638,16.71539,11.798761,-123.90919,0.0,6.7260914,11.769037,-175.23595,0.011523384,29.221659,24.09378,-85.764854,0.0020066279,25.471678,30.917484,-92.77673,0.0,0.0,7.521759,-201.0,0.026196962,14.77143,23.355112,-134.57062,0.008035269,27.202332,22.334017,-65.448784,0.008316325,26.39435,35.390312,-91.4552,0.010374544,27.13467,20.214624,-68.94083,0.017605217,33.560204,29.972364,-50.089966,0.023665769,23.07134,17.427366,-115.43398,0.016569834,15.115861,0.29887155,-146.47353,0.011031895,22.284328,10.039466,-111.69798,0.014103249,39.497925,24.721933,-27.77406,0.012237922,36.584915,36.768997,-37.886913
0.0,0.0,33.00882,-201.0,0.0,0.0,31.84123,-201.0,0.0,0.0,31.077587,-201.0,0.0,0.0,32.267902,-201.0,0.006801148,20.007515,28.575077,-99.828094,0.004914271,20.23576,25.224197,-100.46099,0.005322964,21.207008,23.864302,-71.97763,0.0030327751,12.9719,26.066929,-120.90868,0.013004662,16.629417,18.657215,-113.9026,0.014983385,33.97014,30.216398,-7.8504124,0.029563248,32.858696,29.270102,-4.434607,0.0077132243,7.1673822,29.072836,-157.51851,0.0029135363,7.5700083,29.400227,-156.8827,0.0,0.0,19.148893,-201.0,0.0,0.0,30.481398,-201.0,0.0,0.0,29.676365,-201.0,0.01405839,13.839399,24.388018,-132.83647,0.0,0.0,24.618279,-201.0,0.0,0.0,32.069168,-201.0,0.0,0.0,31.264978,-201.0
0.0,0.0,27.71994,-201.0,0.010555277,27.524557,17.566948,-36.72656,0.0,0.0,-4.5431037,-191.72055,0.0,26.913006,16.065971,-48.78849,0.040624626,31.105682,18.785452,-37.27994,0.0,15.300745,8.4161415,-131.35776,0.023408901,38.92616,10.894145,5.668056,0.010357846,36.359325,14.536107,-8.355724,0.010039561,36.176434,16.648523,-7.997607,0.0,4.79932,21.02694,-176.2226,0.009667016,38.58909,19.331242,2.2717655,0.0,9.770006,17.81709,-139.86414,0.08946003,41.760715,14.313334,15.17807,0.0015380793,5.32364,23.684185,-174.93341,0.009681186,20.11496,14.835442,-110.54132,0.12980047,44.467342,7.0021224,-15.734004,0.0069836555,20.548409,18.320816,-83.59952,0.007494792,10.224614,31.215027,-119.90827,0.0,0.0,26.00715,-201.0,0.0,0.0,15.872732,-201.0
0.0034729282,16.927914,18.009655,-92.91658,0.0,4.2778788,-8.284323,-172.49974,0.04130979,35.96339,14.272921,9.788935,0.011840598,22.876474,11.353756,-87.39378,0.04329896,27.994707,19.085426,-40.159885,0.004175696,15.706554,23.24059,-109.19873,0.009630996,18.578947,13.244784,-110.523796,0.05129246,35.027,19.4846,-37.72246,0.006737427,26.462486,7.734725,-69.140945,0.0020617808,22.52751,14.214712,-85.71778,0.00994131,18.843027,9.27289,-103.65445,0.02074772,38.34619,13.052481,14.511832,0.059905022,42.4182,24.812496,-8.511621,0.056654003,43.02902,13.064823,-18.235714,0.006257071,38.139977,14.3455105,-8.549572,0.1187654,39.753586,13.432515,-3.6709776,0.0064454153,24.936747,-2.0955806,-113.78965,0.0076441593,31.43432,8.868177,-32.613438,0.0022931285,4.0332813,20.787548,-178.62761,0.0,0.0,8.731058,-201.0
