0.0,0.0.1,30.224895,-201.0,0.0.2,0.0.3,28.432049,-201.0.1,0.0.4,0.0.5,28.012838,-201.0.2,0.0.6,0.0.7,19.035397,-201.0.3,0.009448594,16.46814,18.81905,-126.928215,0.03498528,32.29038,23.800945,-1.3158523,0.011916765,31.659876,12.228251,-0.7552538,0.01849283,31.844805,16.662947,-1.2901781,0.020738833,31.118574,19.209452,-1.6310569,0.012125023,30.320917,15.419678,-0.39729533,0.031514786,31.172384,15.054078,4.7087092,0.01495908,15.547278,25.945219,-111.35406,0.0.8,0.0.9,24.470673,-201.0.4,0.0.10,0.0.11,18.561283,-201.0.5,0.0.12,0.0.13,17.336733,-201.0.6,0.0.14,0.0.15,27.206871,-201.0.7,0.0.16,0.0.17,31.939444,-201.0.8,0.0.18,0.0.19,30.942434,-201.0.9,0.0.20,0.0.21,31.213554,-201.0.10,0.0.22,0.0.23,29.791445,-201.0.11
0.0,0.0,28.692522,-201.0,0.0,0.0,31.203497,-201.0,0.0,0.0,29.836393,-201.0,0.0,0.0,30.978529,-201.0,0.0,0.0,24.43769,-201.0,0.0,0.0,19.497427,-201.0,0.0,0.0,13.883927,-201.0,0.0,0.0,11.083539,-201.0,0.0,0.0,16.935593,-201.0,0.11170075,22.98451,15.979847,-71.38234,0.0130827455,44.02024,9.199758,-27.2204,0.022851178,44.75313,20.362688,-10.922679,0.011874339,44.0946,8.758144,-3.5930777,0.008755336,44.38587,12.217981,-7.336047,0.0063766795,45.067566,11.839886,0.28813136,0.01116482,45.214878,14.498641,-11.32974,0.013738439,44.705326,14.756125,-11.612405,0.002999886,16.037664,14.595931,-129.91649,0.0,7.9191785,17.764774,-167.39948,0.013461936,44.351532,19.59577,1.9962444
0.0,0.0,32.380463,-201.0,0.0,0.0,30.770199,-201.0,0.0,2.3514295,28.68383,-190.75998,0.008374953,9.389825,12.610702,-158.23291,0.022805225,43.56604,13.3682,-9.728067,0.018052354,41.84887,12.670713,1.8102412,0.030430324,28.369717,19.413464,-53.028675,0.013158972,35.45834,18.450369,-9.489089,0.0009891788,6.992269,18.823257,-164.86795,0.024034593,23.966116,19.192215,-58.41179,0.011855269,16.22168,28.98404,-138.1875,0.017246053,11.994578,20.25701,-130.99277,0.05210127,9.062252,18.992435,-153.02972,0.0,0.0,19.582596,-201.0,0.0,0.0,29.264566,-201.0,0.0,0.0,36.16515,-201.0,0.0,0.0,34.38851,-201.0,0.0,0.0,34.079784,-201.0,0.0,0.0,32.2234,-201.0,0.0,0.0,32.29385,-201.0
0.0,0.0,34.1228,-201.0,0.0,0.0,32.756275,-201.0,0.0,0.0,28.478527,-201.0,0.008484423,23.912594,32.306576,-93.14848,0.0058990424,17.118387,29.345646,-139.68417,0.0068067387,10.171209,24.413744,-159.61371,0.025137128,32.029575,32.610806,-29.848215,0.004370744,2.6704352,27.85831,-186.47995,0.0030437214,15.918599,27.934408,-122.69565,0.019477377,33.972343,33.682606,0.3921294,0.0058001783,13.410809,30.916548,-129.91165,0.0034781434,7.749755,27.451576,-158.78256,0.0,0.0,24.042646,-201.0,0.0,0.0,36.320435,-201.0,0.0,0.0,36.908672,-201.0,0.0,0.0,31.336958,-201.0,0.0,0.0,30.79554,-201.0,0.0,0.0,35.192604,-201.0,0.0,0.0,29.042725,-201.0,0.0,0.0,32.875305,-201.0
0.0,0.0,29.909363,-201.0,0.0,0.0,8.90852,-201.0,0.0,6.115688,15.494025,-172.28572,0.0070451447,44.55203,15.985519,7.1311784,0.010937883,44.438457,17.16459,-6.694041,0.042310882,43.78216,18.247139,2.4861593,0.007687777,46.412457,14.506843,-11.671235,0.0063266116,46.401524,25.010984,0.18523227,0.0038544857,37.020344,9.613068,-45.651733,0.10914327,33.499363,29.146471,-18.088614,0.01573118,38.808254,8.291281,-6.9126053,0.004012749,24.568312,10.152569,-75.08145,0.0027199108,23.031525,15.74423,-103.632996,0.010284988,40.174923,24.61923,-20.036297,0.0049545555,42.110786,16.236101,-23.64273,0.004316497,16.634226,12.983444,-120.43303,0.0,0.0,5.1771827,-201.0,0.0,0.0,26.79126,-201.0,0.0,0.0,35.73539,-201.0,0.0,0.0,34.943306,-201.0
0.0,0.0,17.953493,-201.0,0.040886164,36.7468,33.639793,-25.117954,0.0018078034,3.0682025,23.771633,-185.53847,0.0,6.5340166,12.263955,-170.86429,0.033214267,42.210815,19.945763,6.286932,0.011237355,21.301134,22.577309,-90.98413,0.042680044,30.38291,15.525726,-68.28259,0.025864523,37.834133,12.044002,-0.21606302,0.0,10.680217,13.383102,-154.2981,0.024164876,44.128544,25.174038,0.8013076,0.08013884,32.2119,29.444115,-5.550784,0.023733763,36.519455,27.061869,-4.3540483,0.029494418,38.090103,27.334576,-20.931328,0.04028545,16.981897,12.090154,-141.51073,0.0,0.0,9.816492,-201.0,0.0,0.0,17.279915,-201.0,0.0,0.0,10.833053,-201.0,0.0,0.0,28.32965,-201.0,0.0,0.0,28.14689,-201.0,0.0,0.0,31.512232,-201.0
0.0,0.0,34.32809,-201.0,0.0,0.0,31.809036,-201.0,0.0,0.0,32.81573,-201.0,0.0,0.0,34.262096,-201.0,0.0,0.0,34.68107,-201.0,0.0015364159,17.59284,20.095568,-119.298454,0.014161234,33.83181,15.138495,-68.34773,0.01477181,22.328394,15.342454,-102.148766,0.03625394,39.989124,22.763441,-9.2678585,0.014722236,14.231591,21.545893,-122.79613,0.0,0.0,23.497692,-201.0,0.0056657395,21.953682,18.470325,-96.881805,0.005058247,16.229752,25.552797,-124.61389,0.023659756,26.040531,26.39469,-64.53032,0.02026632,15.226671,16.249544,-100.95272,0.012769521,22.620935,19.682981,-44.64488,0.0,0.0,24.206156,-201.0,0.0,0.0,33.649246,-201.0,0.0,0.0,34.227516,-201.0,0.0,0.0,28.761007,-201.0
0.0,0.0,31.703947,-201.0,0.0,0.0,31.2979,-201.0,0.001958379,2.7160869,31.719303,-160.49844,0.022346754,13.221639,27.616089,-89.24064,0.03453854,24.765194,25.85208,-8.452348,0.0037481817,7.696954,28.886057,-124.95434,0.0,0.0,27.325115,-201.0,0.0069799353,22.154696,19.722788,-42.594788,0.003419501,18.642542,23.394867,-76.950035,0.009743205,28.9687,31.604572,3.6599398,0.017941883,27.223242,31.378948,5.6109643,0.0052386806,3.8605802,18.137213,-172.52979,0.0,0.0,26.542603,-201.0,0.0,0.0,28.296782,-201.0,0.0,0.0,30.103527,-201.0,0.0,0.0,32.84371,-201.0,0.0,0.0,31.595118,-201.0,0.0,0.0,31.213089,-201.0,0.0,0.0,31.807863,-201.0,0.0,0.0,32.76653,-201.0
0.0,0.0,34.05313,-201.0,0.0,0.0,29.884737,-201.0,0.0,7.050068,35.332565,-154.28864,0.017980361,31.153124,26.227627,-9.74302,0.0,0.0,4.6020575,-196.86497,0.016367504,22.152452,21.014004,-64.813896,0.004738619,30.767813,23.660522,3.0416358,0.0041531934,14.999984,18.977266,-106.91909,0.029832821,26.176422,19.349827,-24.790844,0.0,9.408052,19.950605,-149.02315,0.016863067,24.003801,31.21172,-72.06241,0.046426855,18.489815,24.833485,-85.2921,0.008595885,11.894391,27.939287,-128.06075,0.0069599757,29.515373,31.492937,-24.61044,0.004551057,12.992207,15.127874,-124.23967,0.0,0.0,9.074319,-201.0,0.0,0.0,-2.5179253,-201.0,0.0,0.0,25.373423,-201.0,0.0,0.0,32.225533,-201.0,0.0,0.0,32.028122,-201.0
0.0,0.0,32.408875,-201.0,0.0,0.0,32.263863,-201.0,0.0,0.0,28.897362,-201.0,0.0,0.0,29.689714,-201.0,0.0,0.0,30.315619,-201.0,0.0,0.0,25.04096,-201.0,0.0009604599,13.523127,22.167479,-130.43027,0.030196022,24.09064,26.621582,-78.53201,0.015926693,37.07987,30.643522,-1.4051242,0.011342369,37.654877,27.501772,-1.625957,0.006092693,38.141636,24.052965,1.4531959,0.0040907655,21.575647,24.80617,-91.76254,0.008245226,29.467463,20.740498,-53.911007,0.0,0.0,17.84581,-201.0,0.0,0.0,16.743711,-201.0,0.0,0.0,31.970453,-201.0,0.0,0.0,29.740454,-201.0,0.0,0.0,32.64219,-201.0,0.0,0.0,33.37015,-201.0,0.0,0.0,30.36914,-201.0
0.0,0.0,32.68089,-201.0,0.0,0.0,35.60996,-201.0,0.0,0.0,32.61015,-201.0,0.0,0.0,33.762047,-201.0,0.0,0.0,30.447811,-201.0,0.013544166,19.979643,29.542908,-92.11975,0.0089009255,35.54663,29.046684,-3.5789347,0.00591114,27.688915,27.678074,-51.97612,0.018255658,36.78106,30.9683,-7.1026483,0.0043795835,16.324804,28.480106,-115.05135,0.0,0.0,22.311806,-201.0,0.0,0.0,23.396555,-201.0,0.0,0.0,33.8705,-201.0,0.0,0.0,32.20435,-201.0,0.0,0.0,27.267773,-201.0,0.0,0.0,32.530266,-201.0,0.0,0.0,33.953777,-201.0,0.0,0.0,34.534504,-201.0,0.0,0.0,32.879745,-201.0,0.0,0.0,32.42327,-201.0
0.0,0.0,36.409153,-201.0,0.0,0.0,31.557034,-201.0,0.0,0.0,31.820543,-201.0,0.0,0.0,34.650467,-201.0,0.05059159,10.384327,35.094563,-109.33514,0.0030835196,9.323258,26.304033,-138.4721,0.0,0.0,26.92126,-201.0,0.0031038113,11.607311,21.55949,-96.79741,0.0124482615,16.029175,30.503517,-76.94896,0.0056043575,2.2944293,32.705112,-185.30191,0.0,5.622993,30.921986,-154.94096,0.013826033,17.207882,34.622612,-68.45737,0.01017798,23.025414,30.432539,2.5879161,0.018887527,11.782389,40.168526,-109.003944,0.005060872,10.133355,20.81189,-123.670074,0.0,3.6302412,25.580528,-170.46461,0.053154152,11.740419,36.664543,-129.92331,0.0,0.0,36.680283,-201.0,0.0,0.99501663,22.473053,-187.73526,0.0,3.1736693,32.8852,-157.90224
0.0,2.4338408,29.171825,-168.4278,0.0010737948,4.0628357,33.05944,-150.42307,0.0027200484,27.248062,19.587158,-60.88022,0.00024976995,24.891281,8.21221,-90.41258,0.0069001196,28.972858,11.147012,-79.558914,0.0,12.556234,17.13293,-148.25835,0.013126749,46.799286,12.041152,-0.56710875,0.0064468062,36.7364,18.3778,-49.839745,0.0021881124,15.422445,15.192302,-129.42981,0.015789384,23.52732,13.840233,-81.18125,0.023663962,41.59912,28.51155,-16.705706,0.004322758,31.662544,18.936794,-63.881016,0.0,0.0,5.655513,-201.0,0.0,0.0,8.560495,-201.0,0.0,0.0,16.546955,-201.0,0.0,0.0,20.949963,-201.0,0.0,0.0,30.506922,-201.0,0.0,4.1400557,31.499933,-146.27673,0.0097410865,6.8420477,36.04827,-116.37836,0.0,0.0,32.327267,-201.0
