jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.941729,-201.0
0.0,0.0,28.237854,-201.0
0.0,0.0,29.978783,-201.0
0.0,0.0,29.46413,-201.0
0.0,0.0,30.424488,-201.0
0.0035450086,13.716827,24.5804,-106.9927
0.00996702,16.454035,13.652129,-103.27968
0.0,0.0,25.231815,-201.0
0.023272272,30.16085,21.843567,-10.519995
0.015583692,35.926186,23.61512,-1.97942
0.0028426016,8.850915,34.444443,-141.46127
0.0,7.073457,25.807322,-148.98235
0.0074571385,13.610586,22.104385,-118.09271
0.0,7.056123,22.387596,-153.14127
0.031216983,12.328301,28.20766,-111.979614
0.0067120646,8.379797,27.786156,-137.99756
0.0,0.0,27.847311,-201.0
0.0,0.0,22.659996,-201.0
0.0,0.0,29.654455,-201.0
0.0,0.0,31.138763,-201.0
