jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.095467,-201.0
0.0,0.0,30.119907,-201.0
0.0,0.0,28.899134,-201.0
0.0,8.816044,28.234037,-147.3743
0.007354653,20.486216,20.757933,-77.41758
0.04405082,36.219242,15.153965,-6.6098957
0.01157921,29.097404,27.737213,-55.76334
0.0090345405,31.580343,17.715548,-31.182852
0.0064331214,36.367935,13.245002,-10.8575325
0.007151625,15.705796,18.38052,-111.61728
0.0019225462,15.710822,13.909931,-113.94249
0.007960784,37.157387,13.919996,-7.476569
0.0025379616,36.45007,12.375381,0.2127574
0.002547997,9.613513,12.27807,-149.5386
0.0058633694,12.170301,7.433449,-134.16562
0.03914065,33.594154,17.35198,12.072168
0.003599518,4.056036,32.45102,-175.55759
0.0,0.0,30.252586,-201.0
0.0,0.0,29.448376,-201.0
0.0,0.0,29.314093,-201.0
