jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,34.03201,-201.0
0.0,0.0,32.90742,-201.0
0.021971118,20.692305,38.394375,-94.90315
0.0,0.0,22.04602,-201.0
0.0063203024,12.357203,27.477106,-129.19975
0.005773487,22.157505,33.282238,-72.988075
0.0,0.0,26.873371,-201.0
0.05183482,18.04932,32.10925,-94.23311
0.012261115,7.2421165,35.241825,-164.08838
0.0,0.0,26.798185,-201.0
0.0,0.0,30.187153,-201.0
0.0028738119,7.121894,33.234325,-161.53386
0.0,0.0,34.156883,-201.0
0.0,0.0,34.798523,-201.0
0.0,0.0,35.411354,-201.0
0.0,0.0,28.974606,-201.0
0.0,0.0,26.170835,-201.0
0.0,0.0,29.264614,-201.0
0.0,0.0,32.776154,-201.0
0.0,0.0,30.125515,-201.0
