jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.045408,-201.0
0.0,0.0,30.613764,-201.0
0.0,0.0,27.778755,-201.0
0.0,0.0,31.399416,-201.0
0.0,7.914467,23.251888,-150.35623
0.0147988675,25.502022,24.913467,-35.372295
0.005849157,5.785485,17.471891,-164.7615
0.023712903,30.567747,26.960676,-8.907314
0.011345296,26.685833,22.269344,-16.113081
0.027790515,16.885168,29.077631,-75.61625
0.0,0.0,8.71876,-189.15074
0.010534211,19.402155,20.334873,-51.57561
0.004856101,8.176767,17.924217,-147.84096
0.0,0.0,13.090108,-201.0
0.0,0.0,27.93214,-201.0
0.0,0.0,23.519999,-201.0
0.0,0.0,29.242373,-201.0
0.0,0.0,31.727774,-201.0
0.0,0.0,29.108137,-201.0
0.0,0.0,30.69007,-201.0
