jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,30.049105,-201.0
0.0,0.0,28.663183,-201.0
0.019406548,27.110653,21.8215,-52.118298
0.012409997,41.5156,12.714264,1.1990811
0.010965074,27.346167,8.1078,-75.2527
0.009455675,17.04475,14.157861,-128.52878
0.023689298,20.227423,16.833973,-106.79238
0.021081489,29.797089,9.314464,-58.23046
0.008771435,12.46491,14.796349,-143.43887
0.008422424,31.495758,17.90528,-70.67161
0.011491862,29.672743,18.751455,-62.40719
0.059937116,36.289394,9.479153,-25.521034
0.02553882,15.777865,19.354548,-130.22777
0.0,4.7930417,15.588487,-178.61313
0.0051069455,5.1045585,16.88914,-175.08415
0.0,0.0,28.437092,-201.0
0.0,0.0,28.45264,-201.0
0.0,0.0,29.814344,-201.0
0.0,0.0,27.292643,-201.0
0.0,0.0,31.380274,-201.0
