jitterLocal_sma3nz,F0semitoneFrom27.5Hz_sma3nz,hammarbergIndex_sma3,F1amplitudeLogRelF0_sma3nz
0.0,0.0,31.204124,-201.0
0.0,0.0,31.579128,-201.0
0.0,0.0,30.048656,-201.0
0.0,0.0,29.651533,-201.0
0.0,0.0,30.195679,-201.0
0.0,0.0,29.040195,-197.2433
0.012541043,23.171875,19.89432,-9.874465
0.008628922,21.564627,22.33181,-43.42791
0.007953439,19.324036,23.524223,-58.07035
0.03264668,27.282276,16.558727,5.232694
0.07504231,19.540781,18.183784,-65.87548
0.0055701444,4.9263678,27.642925,-158.75652
0.006896224,11.738337,24.644592,-130.04326
0.007854319,8.607504,27.751228,-123.05992
0.0,5.1184125,23.442629,-155.80602
0.011731199,13.890416,28.4067,-85.41397
0.0,0.0,28.230934,-197.33347
0.0,0.0,27.555143,-201.0
0.0,0.0,26.18441,-201.0
0.0,0.0,29.941753,-201.0
